STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA MILAS_2 DERINCE BARAJI&#40;KRET-CREST&#41;
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4822
STATION COORDINATES     : 37.44170N-27.64600E
STATION ALTITUDE (m)    : 128
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101468
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 15142
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 76.656958 (E-W) 76.914496 (U-D) 61.345265
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.025988     -0.152548     0.056393
   -0.001559     -0.172818     0.010395
   -0.022349     -0.208161    -0.044179
   -0.021570     -0.225313    -0.075104
    0.004158     -0.207642    -0.063670
    0.035863     -0.165802    -0.023649
    0.048597     -0.136695     0.023129
    0.034304     -0.136435     0.055094
    0.007017     -0.154107     0.047557
   -0.018971     -0.182694     0.014813
   -0.028586     -0.200365    -0.021310
   -0.018451     -0.193089    -0.039241
   -0.007017     -0.172298    -0.027547
    0.002079     -0.148390     0.001040
    0.010135     -0.132277     0.033004
    0.004158     -0.131498     0.036123
   -0.016372     -0.143712     0.013773
   -0.028327     -0.160864    -0.001819
   -0.019751     -0.172039    -0.012734
   -0.004678     -0.174897    -0.023389
    0.015852     -0.177236    -0.027807
    0.038202     -0.173338    -0.009356
    0.041320     -0.162163     0.018971
    0.017672     -0.156966     0.018711
   -0.019751     -0.161643    -0.005717
   -0.043659     -0.170739    -0.025988
   -0.039241     -0.182694    -0.032225
   -0.017412     -0.195687    -0.021830
    0.003898     -0.194128     0.001819
    0.011694     -0.177496     0.030925
    0.006757     -0.171779     0.043399
   -0.003378     -0.178276     0.031445
   -0.007277     -0.183993     0.006237
    0.001040     -0.194128    -0.034044
    0.020011     -0.195428    -0.059512
    0.038982     -0.173078    -0.044959
    0.047298     -0.148390    -0.014033
    0.044959     -0.128639     0.021310
    0.028067     -0.116425     0.057693
    0.001819     -0.118504     0.075884
   -0.023129     -0.138255     0.057693
   -0.035603     -0.172558     0.013773
   -0.029366     -0.194128    -0.022609
   -0.010655     -0.201145    -0.045998
    0.011694     -0.201924    -0.061851
    0.023909     -0.179835    -0.059772
    0.020790     -0.149169    -0.035083
    0.004938     -0.134616    -0.000260
   -0.008836     -0.139034     0.015852
   -0.010655     -0.155406     0.011435
   -0.008836     -0.164502     0.007017
   -0.005977     -0.169440     0.010135
   -0.004678     -0.183993     0.025988
   -0.001299     -0.189710     0.037942
    0.002079     -0.187631     0.030665
   -0.002339     -0.196987     0.010135
   -0.010395     -0.202704    -0.022609
   -0.020790     -0.197507    -0.048337
   -0.021310     -0.183993    -0.043919
   -0.004938     -0.168400    -0.023909
    0.022349     -0.157485    -0.014033
    0.042620     -0.147350    -0.012994
    0.038202     -0.152028    -0.007017
    0.021830     -0.160084     0.005198
    0.004158     -0.155666     0.018451
   -0.017152     -0.155406     0.027547
   -0.035863     -0.152028     0.033524
   -0.042880     -0.144492     0.031185
   -0.030665     -0.146311     0.017932
   -0.007277     -0.160084     0.011175
    0.016892     -0.182434     0.013514
    0.032485     -0.192309     0.015333
    0.034564     -0.181134     0.003638
    0.031965     -0.169180    -0.021050
    0.026248     -0.170479    -0.038722
    0.019751     -0.174118    -0.048597
    0.010915     -0.167361    -0.041840
   -0.003378     -0.156706    -0.012474
   -0.016372     -0.160864     0.016112
   -0.025728     -0.173078     0.038202
