STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA OREN BELEDIYE
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4819
STATION COORDINATES     : 37.03130N-27.97120E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101913
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9036
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 78.7235 (E-W) 87.939778 (U-D) 45.10789
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.004418     -0.010915     0.006497
   -0.037682      0.024169     0.015073
   -0.034824      0.008316     0.031185
   -0.043140      0.009875     0.033004
   -0.013773      0.005457     0.020270
   -0.008576     -0.016112     0.009615
   -0.011954      0.008316    -0.016112
   -0.014293     -0.014033    -0.017152
   -0.028067      0.012214    -0.022349
   -0.004678     -0.006757    -0.012214
   -0.010395      0.005977    -0.004158
    0.014553      0.021050     0.001819
    0.000780      0.024688     0.010915
   -0.009615      0.044179     0.002599
   -0.014293      0.004158     0.002599
   -0.022869      0.005977    -0.007017
   -0.004158     -0.013254    -0.000780
   -0.022090      0.002079     0.002859
   -0.005717     -0.001040     0.005198
   -0.027547      0.002599     0.002339
   -0.029886      0.012474    -0.001040
   -0.024428      0.000780     0.006237
   -0.026507      0.030665    -0.003898
   -0.006497      0.015073     0.000000
   -0.018711      0.041320    -0.008576
   -0.014553      0.030406    -0.008316
   -0.048597      0.029626    -0.007796
   -0.044179      0.030925    -0.012734
   -0.022609      0.009875     0.001040
    0.007017      0.017932     0.002079
    0.029886     -0.015593     0.009096
    0.012474     -0.005198     0.004678
    0.019751     -0.012734     0.003378
   -0.012994      0.009615     0.003898
   -0.020790      0.014553     0.007536
   -0.034304      0.010915     0.013773
   -0.024428      0.022869     0.009875
   -0.012734      0.004418     0.004418
   -0.026767      0.021310    -0.016112
   -0.014553     -0.008316    -0.028327
   -0.036903      0.009615    -0.035863
   -0.017932      0.008056    -0.019751
   -0.015333      0.015593     0.000780
    0.000260      0.035343     0.020270
    0.015593      0.018451     0.040541
    0.015852      0.029106     0.040541
    0.036643     -0.007017     0.034564
    0.016112      0.010395    -0.002339
    0.018971     -0.003638    -0.019751
   -0.008056      0.017412    -0.035863
   -0.015593      0.025728    -0.038722
   -0.023649     -0.006757    -0.018191
   -0.029366      0.014033    -0.010655
   -0.016112     -0.004678     0.015073
   -0.029366      0.042620     0.015333
   -0.007536      0.032745     0.024428
   -0.017152      0.035083     0.020270
   -0.003638      0.027547     0.008836
   -0.014553     -0.006757     0.010915
   -0.018191      0.004678    -0.005717
    0.004678     -0.037942    -0.003378
   -0.002859     -0.013254    -0.010915
    0.007017     -0.018711    -0.002079
   -0.024688      0.009615     0.005977
   -0.023649      0.028327     0.006757
   -0.033784      0.020011     0.005717
   -0.033524      0.040541    -0.007536
   -0.021310      0.007536    -0.007277
   -0.018451      0.019751    -0.020530
    0.009356      0.003898    -0.014033
   -0.003638      0.016892    -0.010655
    0.007017      0.013773    -0.000260
   -0.004938      0.014813     0.009875
   -0.002339      0.022869     0.003378
   -0.003119      0.002599     0.004938
   -0.009875      0.023909    -0.011954
   -0.000780     -0.004678    -0.009356
   -0.017412      0.008576    -0.006757
    0.000260     -0.013254    -0.002599
   -0.017412     -0.016112    -0.010915
   -0.006757     -0.011175    -0.025468
   -0.003898     -0.015593    -0.021830
   -0.013773      0.031965    -0.021050
   -0.021050      0.017152     0.003638
   -0.045738      0.039761     0.017932
   -0.026767      0.020530     0.034824
   -0.042880      0.016372     0.042620
   -0.033004      0.001040     0.042620
   -0.028846     -0.023649     0.042100
   -0.002599      0.007277     0.026248
    0.019751      0.003638     0.017412
   -0.002079      0.036123    -0.006497
    0.003378      0.015593    -0.013773
   -0.016632      0.007536    -0.022869
    0.000520     -0.006497    -0.030406
   -0.007536     -0.004418    -0.031965
   -0.004678      0.018451    -0.034824
    0.008576      0.003378    -0.018451
    0.010135      0.027547    -0.011435
    0.025728      0.003378     0.004418
    0.001559      0.011694     0.000520
    0.007017      0.002599    -0.001559
   -0.016112      0.008576     0.003378
   -0.024688      0.019231     0.004418
   -0.036643      0.008576     0.015852
   -0.047557      0.035083     0.012994
   -0.037422      0.009356     0.019491
   -0.054054      0.030406     0.008836
   -0.028846     -0.000520    -0.003378
   -0.019231     -0.006497    -0.016372
    0.016112      0.004418    -0.024688
    0.021310     -0.002079    -0.015073
    0.012474      0.027287    -0.008576
    0.012214     -0.005717     0.006237
   -0.012474      0.014553     0.001559
   -0.005457     -0.002079     0.003119
