STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA BODRUM METEOROLOJI MUDURLUGU
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4809
STATION COORDINATES     : 37.03304N-27.43997E
STATION ALTITUDE (m)    : 25
RECORDER TYPE           : Guralp cmg5td
RECORDER SERIAL NO      : T5J71/A1167
RECORD TIME             : 20/07/2017 22:31:07.000000 (GMT)
NUMBER OF DATA          : 4094
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 158.762353 (E-W) 102.007881 (U-D) 88.038613
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
    0.005178     -0.014690     0.007648
    0.003858     -0.026623     0.008320
   -0.004021      0.014810     0.004302
    0.009791     -0.032053     0.008137
    0.002184      0.000828     0.010963
    0.002677     -0.011138     0.004695
    0.004859     -0.010108     0.007965
   -0.000257     -0.002914     0.007429
    0.009220     -0.022458     0.007790
    0.005369     -0.004001     0.009072
    0.003829     -0.010927     0.002438
    0.012895     -0.015942     0.009711
   -0.005158     -0.011395     0.008369
    0.003923     -0.012480     0.001226
   -0.003387     -0.004045     0.013099
    0.010133     -0.020856     0.004955
    0.005849      0.003316     0.005997
    0.006490     -0.016154     0.006619
    0.007653     -0.010109     0.002791
   -0.001006     -0.008577     0.011071
    0.009422     -0.021943     0.009483
   -0.002452      0.004665     0.005726
    0.007454     -0.027580     0.007216
    0.008777      0.001338     0.002902
   -0.002325     -0.016815     0.012717
    0.011083     -0.012614    -0.000323
   -0.009641     -0.007010     0.012113
    0.017102     -0.027100     0.003181
   -0.004079      0.009660     0.009383
    0.003509     -0.026532     0.006393
    0.005087      0.002990     0.005662
   -0.007453     -0.016462     0.012947
    0.015091     -0.017068    -0.005120
   -0.012813      0.009979     0.016644
    0.028666     -0.034470    -0.000359
   -0.008684      0.016724     0.014420
    0.013077     -0.034670     0.000433
   -0.010212      0.005958     0.007115
    0.005658     -0.014955     0.012508
    0.007909     -0.017642     0.002658
    0.001621      0.003628     0.007241
    0.015011     -0.028904     0.003633
   -0.006474      0.003128     0.007687
    0.019194     -0.022097     0.009801
   -0.014529      0.001799     0.003930
    0.012813     -0.023020     0.012008
   -0.003405     -0.009901     0.006329
    0.002413      0.006484     0.003302
    0.011488     -0.022395     0.010462
   -0.001575     -0.006633     0.001394
    0.004633     -0.004405     0.009203
   -0.003696     -0.026955     0.003430
    0.006772      0.003186     0.012475
    0.007287     -0.028094     0.001037
   -0.001587      0.018984     0.009190
    0.006198     -0.036618     0.008271
    0.003267      0.006393    -0.000328
    0.002292     -0.010886     0.015342
    0.007619     -0.025081     0.003986
   -0.000652      0.015706     0.005423
    0.014817     -0.042002     0.008526
   -0.004672      0.021882     0.004093
    0.003676     -0.034045     0.009823
    0.001758      0.005675     0.004838
    0.003590     -0.018250     0.015537
    0.007743     -0.014591    -0.000908
    0.000265      0.007225     0.007284
    0.014604     -0.027019     0.009157
   -0.005390      0.007821     0.006486
    0.009198     -0.028493     0.007364
   -0.005228     -0.001060     0.002404
   -0.000689     -0.007550     0.018822
    0.019292     -0.029507    -0.007794
   -0.011530      0.020689     0.014378
    0.020300     -0.042277    -0.002840
   -0.018943      0.018588     0.015313
    0.022239     -0.028363     0.008508
    0.001484     -0.001427     0.001502
    0.006366     -0.008017     0.010652
    0.005992     -0.029923    -0.000337
   -0.012118      0.017509     0.013976
    0.019277     -0.040226     0.004414
   -0.013125      0.020891     0.010394
    0.018474     -0.035246     0.004409
   -0.004394      0.007810     0.003666
    0.017203     -0.017604     0.005412
    0.001505     -0.013628     0.005218
    0.003656      0.004479     0.007696
    0.004182     -0.024823     0.011878
   -0.001808      0.009209     0.002300
    0.010311     -0.025472     0.010826
   -0.001956     -0.006132    -0.004654
    0.009877     -0.008188     0.011232
   -0.001733     -0.020197     0.009210
   -0.001159      0.012038     0.006433
    0.013070     -0.034756     0.011894
   -0.004074      0.012076    -0.001907
    0.004669     -0.016405     0.015264
    0.004935     -0.016226    -0.001051
    0.000488      0.010608     0.012079
    0.013664     -0.037585     0.005031
   -0.004592      0.020863     0.003463
    0.013064     -0.034091     0.015092
   -0.004882      0.007463    -0.000198
    0.002525     -0.012919     0.008354
    0.006957     -0.023140     0.003376
   -0.000761      0.017179     0.008360
    0.012880     -0.037499     0.008715
   -0.000850      0.018213     0.000289
    0.006122     -0.035560     0.011172
    0.008921     -0.005151     0.001742
   -0.000225      0.001466     0.014582
    0.007717     -0.020889     0.001198
   -0.008551      0.013967     0.010821
    0.020606     -0.036789     0.006133
   -0.005121      0.017049     0.001399
    0.006130     -0.032512     0.011655
    0.001807      0.003002    -0.004130
    0.001485     -0.003185     0.019769
    0.013697     -0.024359     0.001176
   -0.007396      0.014599     0.005302
    0.013306     -0.041637     0.008070
   -0.003431      0.013464    -0.001049
    0.003287     -0.016005     0.016764
    0.012236     -0.013713    -0.003724
   -0.004128      0.008052     0.018831
    0.012610     -0.038521    -0.001853
   -0.005567      0.024385     0.008455
    0.000376     -0.035671     0.011001
    0.011363      0.002704    -0.002463
    0.001313     -0.006267     0.015588
    0.014266     -0.019066    -0.008807
   -0.010603      0.011707     0.022614
    0.020652     -0.037420    -0.005478
   -0.014948      0.033325     0.015221
    0.016907     -0.050151     0.004859
   -0.001092      0.018485    -0.001548
    0.007589     -0.025098     0.016319
    0.008224     -0.006911    -0.005518
   -0.013516      0.008873     0.017254
    0.023748     -0.041969    -0.000644
   -0.014337      0.023292     0.007559
    0.024027     -0.034214     0.007501
   -0.017004      0.011475     0.003735
